icao,name,manufacturer,type,apc,wtc,recat_eu,mtow_kg,v2_ias_kts,takeoff_distance_m,initial_climb_ias_kts,initial_climb_roc_ftmin,climb_fl150_ias_kts,climb_fl150_roc_ftmin,climb_fl240_ias_kts,climb_fl240_roc_ftmin,mach_climb_mach,mach_climb_roc_ftmin,cruise_tas_kt,cruise_mach,cruise_ceiling_fl,range_nm,init_descent_mach,init_descent_rod_ftmin,descent_fl100_ias_kt,descent_fl100_rod_ftmin,approach_ias_kt,approach_rod_ftmin,approach_mcs_kt,vat_ias_kt,landing_distance_m,wing_span_m,length_m,height_m,power_plant,wing_position,engine_position,tail_configuration,landing_gear,iata
F14,,,L2J,C,M,Lower Medium,33795,140,500,170,40000,170,40000,170,40000,0.72,40000,500,0.72,,1800,0.72,10000,170,10000,170,10000,,125,500,19.5,19.1,4.9,A: 2 x 93.0 kN P&W TF30-P-412 or 2 x 93.0 kN P&W TF30-P-414A afterburning turbofans. D: 2 x 63.3 kN GE  F110-GE-400 (with afterburner 2 x 102.8 kN) turbofans.,High swing wing,In fuselage,"Double fin, low set",Tricycle retractable,
F15,,,L2J,C,M,Lower Medium,36740,145,300,175,50000,175,50000,175,50000,0.80,50000,500,0.80,,2400,0.80,20000,175,20000,175,20000,140,125,300,13,19.4,5.6,C: 2 x 65.3 kN P&W F100-PW-200 (2 x 107.7 kN with afterburner) turbofans. E: 2 x 79.2 kN P&W F100-PW-229 (2 x 129.4 kN  with afterburner) turbofans.,High wing,In fuselage,"Double fin, low set",Tricycle retractable,
F16,,,L1J,D,M,Light,14970,145,1000,175,55000,175,55000,175,55000,0.80,55000,480,0.80,,2000,0.80,10000,175,10000,175,10000,,150,1000,10,15,5.1,A/XL: 1 x 65.3 kN P&W F100-PW-100 (1 x 106.0 kN with afterburner) turbofan. C/XL: 1 x 122.8 kN GE F110-GE-100 afterburning turbofan.,Mid wing,In fuselage,Regular tail (Anhedral),Tricycle retractable,
F18,,,L2J,C,M,Lower Medium,25400,145,450,175,30000,175,30000,175,30000,0.80,30000,495,0.80,,1700,0.80,10000,175,10000,175,10000,,125,450,12.3,17.1,4.7,"C: 2 x 71.2 kN GE F404-GE-400 or 2 x 78.7 kN GE F404-GE-402 afterburning turbofans. E: 2 x 98,0 kN GE F414-GE-400 afterburning turbofans.",High wing,In fuselage,"Double fin, low set",Tricycle retractable,
F2,,,L1J,D,M,Lower Medium,22100,,1200,180,40000,180,40000,180,40000,0.85,40000,475,0.85,,520,0.85,12000,180,12000,180,12000,200,155,1200,11.1,15.5,4.7,1 x General Electric F111-GE-129 turbofan giving 17000lbs thrust and 29000lbs of thrust with afterburner.,Low swept wing,In rear fuselage,"Regular tail, low set",Tricycle retractable,
F26T,,,L1T,A,L,Light,1300,80,500,110,1500,110,1500,110,1500,,1500,180,,,500,,1500,110,1500,110,1500,,75,500,8.4,7.1,2.4,1 x 350 SHP Allison 250-B17D turbo-prop with 3 blade propeller.,Low wing with wing tip tanks,Nose mounted,"Regular tail, mid set",Tricycle retractable,
F27,,,L2T,B,M,Lower Medium,20410,100,700,130,1000,130,1000,130,1000,,1000,240,,,1500,,1500,130,1500,130,1500,150,120,700,29,23.1,8.5,2 x 2.140 SHP R-R Dart Mk 532-7R or 2 x 2.320 SHP R-R Dart Mk 536-7R or 2 x 2.300 SHP R-R Dart Mk 532-7L turboprops with 4 blade propellers. Maritime: 2 x 2.370 SHP R-R Dart Mk 536-76 or 2 x 2.500 SHP P&W PW125B or 2 x 2.750 SHP P&W PW127B  turboprops,High wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,FK7/F27
F28,,,L2J,C,M,Lower Medium,33110,135,1700,165,2000,165,2000,165,2000,0.60,2000,390,0.60,,1600,0.60,800,165,800,165,800,200,125,1700,27.07,27.4,8.5,3000/4000: 2 x 44 kN RR RB 183-2 Spey-Mk555-15 P turbofans.,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,F21/F22/F23/F24/F28
F2TH,,,L2J,B,M,Lower Medium,16240,120,1600,150,3000,150,3000,150,3000,0.76,3000,470,0.76,,3000,0.76,1000,150,1000,150,1000,180,110,1600,19.3,20.2,7.1,2 x 26.7 kN GE  CFE738-1-1B turbofans.,Low wing,Both sides of rear fuselage,Cruciform tail,Tricycle retractable,DF2
F35,,,L1J,D,M,Lower Medium,31751,,,190,40000,190,40000,190,40000,0.85,40000,520,0.85,,1500,0.85,10000,190,10000,190,10000,,150,,11,15.7,4.4,1 × Pratt & Whitney F135-PW-100 afterburning turbofan (120kN / 190kN with afterburner),Mid wing,In fuselage,"Double fin, low set",Tricycle retractable,
F4,,,L2J,E,M,Lower Medium,28000,150,1500,180,4000,180,4000,180,4000,0.80,4000,480,0.80,,1200,0.80,10000,180,10000,180,10000,,175,1500,11.7,17.8,5.1,2 x 77. kN GE J 79-GE-8 with afterburner or 2 x 93 kN RR Spey 202 with afterburner turbofans. F-4C: 2 x 48.5 kN GE J79-GE-15 (2 x 75.6 kN with afterburner) turbofans. F-4E: 2 x 52.4 kN GE J79-GE-17A (2 x 79.6 kN with afterburner) turbofans.,Low wing,In fuselage,Regular tail (Anhedral),Tricycle retractable,
F406,,,L2T,B,L,Light,4200,100,700,130,2000,130,2000,130,2000,,2000,240,,,1000,,1200,130,1200,130,1200,,95,700,15.1,11.9,4,2 x 500 SHP P&W PT6A-112  turboprops with 3 blade propellers.,Low wing,(Front) Wing leading mounted,Cruciform tail,Tricycle retractable,
F5,,,L2J,E,M,Light,11187,155,1800,185,34000,185,34000,185,34000,0.76,34000,480,0.76,,1300,0.76,10000,185,10000,185,10000,,170,1800,8.1,14.5,4.1,A/B: 2 x 12.33 kN GE J85-GE-13 (with afterburner 2 x 18.5 kN) turbojets. E/F: 2 x 15.5 kN GE J85-GE-21B (with afterburner 2 x 22.4 kN) turbojets.,Low wing,In fuselage,"Regular tail, low set",Tricycle retractable,
F50,,,L2T,B,M,Lower Medium,20820,120,1100,130,1500,130,1500,130,1500,,1500,240,,,1900,,1500,130,1500,130,1500,170,120,1100,29,25.2,8.3,100: 2 x 2.500 SHP P&W PW125B turboprops with 6 blade Dowty Rotol propellers. 300: 2 x 2.750 SHP P&W PW 127B turboprops with 6 blade Dowty Rotol propellers.,High wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,F50
F70,,,L2J,B,M,Lower Medium,36740,125,1300,155,3000,155,3000,155,3000,0.60,3000,430,0.60,,1100,0.60,800,155,800,155,800,200,129,1300,29.1,30.9,8.5,2 x 61.6 kN Rolls-Royce TAY Mk 620 turbofans.,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,F70
F900,,,L3J,B,M,Lower Medium,21200,125,1500,155,3000,155,3000,155,3000,0.72,3000,510,0.72,,4500,0.72,1000,155,1000,155,1000,180,110,1500,19.3,20.2,7.6,"3 x 20 kN Garrett TFE731-5AR-1C or 3 x 21,1 kN Alliend Signal TFE731-5BR turbofans.",Low wing,Both sides of rear fuselage and fin-integrated,Cruciform tail,Tricycle retractable,
FA10,,,L2J,B,M,Light,8500,165,930,240,2300,240,2300,240,2300,0.82,2300,490,0.82,,1900,0.82,1600,240,1600,240,1600,180,110,930,13.08,13.86,4.61,2 x 14.65 kN Garrett TFE731-2 turbofans.,Low wing,Both sides of rear fuselage,Cruciform tail,Tricycle retractable,DFL/DF2
FA20,,,L2J,B,M,Light,13160,120,1600,150,3000,150,3000,150,3000,0.70,3000,420,0.70,,2300,0.70,1000,150,1000,150,1000,160,110,1600,16.3,17.2,5.3,"20: 2 x 19.6 kN GE CF700-2D-2 turbofans. 200: 2 x 23,13 kN Garrett ATF3-6A-4C turbofans.",Low wing,Both sides of rear fuselage,Cruciform tail,Tricycle retractable,
FA50,,,L3J,C,M,Lower Medium,18500,120,1400,150,3000,150,3000,150,3000,0.72,3000,480,0.72,,3500,0.72,1000,150,1000,150,1000,180,130,1400,18.86,18.52,6.97,"3 x 16.8 kN Garrett TFE731-3 turbofans. EX:  3 x 16,5 kN Garrett TFE731-40 turbofans.",Low wing,Both sides of rear fuselage and fin-integrated,Cruciform tail,Tricycle retractable,DF3
FA7X,,,L3J,B,M,Lower Medium,31298,115,123,160,3500,160,3500,160,3500,0.85,3500,580,0.85,,5950,0.85,1000,160,1000,160,1000,160,104,123,26.21,23.19,7.8,2x Pratt & Whitney Canada PW307A delivering 6402 lbf (28.5kN) of thrust,Low wing (winglets),Both sides of rear fuselage and fin-integrated,"Regular tail, mid set",Tricycle retractable,DFL
G115,,,L1P,A,L,Light,990,65,250,95,1000,95,1000,95,1000,,1000,130,,,600,,500,95,500,95,500,,60,250,10,7.59,2.8,A: 1 x 115 HP Lycoming O-235-H2C piston engine with 2 blade propeller. D: 1 x 180 HP Lycoming AEIO-360 piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle fixed,
G150,,,L2J,C,M,Light,11839,115,1524,220,3300,220,3300,220,3300,0.79,3300,460,0.79,,3000,0.79,2600,220,2600,220,2600,180,130,1524,16.94,17.3,5.82,2x Honeywell TFE731-40AR (19.7kN),Low wing (winglets),Both sides of rear fuselage,"Regular tail, low set",Tricycle retractable,
G222,,,L2T,B,M,Lower Medium,31800,115,700,145,1600,145,1600,145,1600,0.41,1600,240,0.41,,2500,0.41,1500,145,1500,145,1500,,120,700,28.7,22.7,9.8,2x General Electric T64-GE-P4D turboprop (3400 Shp),High wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
G280,,,L2J,C,M,,17962,135,1448,230,5500,230,5500,230,5500,0.83,5500,472,0.83,,3600,0.83,2800,230,2800,230,2800,190,134,1448,19.2,20.37,6.5,2x Honeywell HTF7250G (7445lb /33kN),Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
G3,,,L1P,A,L,Light,472,,230,45,950,45,950,45,950,,950,105,,,550,,750,45,750,45,750,40,55,230,9.8,6.5,2.3,Rotax 912 / Rotax 912 ULS with a 2 bladed wood propellor (G3-80/100hp) or 2 bladed variable pitch propellor.,High wing,Nose mounted,"Regular tail, low set",Tricycle fixed,
GALX,,,L2J,C,M,Lower Medium,15808,125,1800,155,3500,155,3500,155,3500,0.72,3500,470,0.72,,3300,0.72,1000,155,1000,155,1000,,130,1800,17.7,19,6.5,"2 x 25,4 kN P&W PW306A-5 turbofans.",Low wing (winglets),Both sides of rear fuselage,Cruciform tail,Tricycle retractable,
GL5T,,,L2J,C,M,Lower Medium,41957,150,1689,300,3000,300,3000,300,3000,0.84,3000,485,0.84,,5200,0.84,1500,300,1500,300,1500,190,122,1689,28.65,29.5,7.7,"2 × Rolls-Royce BR710A2-20 turbofans, 14,750 lbf (65.6 kN) each",Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
GLEX,,,L2J,C,M,Lower Medium,44500,120,1870,150,4000,150,4000,150,4000,0.75,4000,490,0.75,,6300,0.75,1500,150,1500,150,1500,,125,1870,28.6,30.3,7.6,"2 x 65,3 kN R-R BR710-48-C2 turbofans.",Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,CCX
GLF3,,,L2J,C,M,Lower Medium,31620,145,1800,175,4000,175,4000,175,4000,0.75,4000,450,0.75,,4300,0.75,1000,175,1000,175,1000,180,135,1800,23.7,25.3,7.5,2 x 50.7 kN R-R Spey Mk 511-8 turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
GLF4,,,L2J,C,M,Lower Medium,33200,145,1600,175,4000,175,4000,175,4000,0.75,4000,450,0.75,,4600,0.75,1000,175,1000,175,1000,180,140,1600,23.7,26.9,7.4,2 x 61.6 kN Rolls-Royce Tay Mk 611-8 turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
GLF5,,,L2J,C,M,Lower Medium,41136,145,1570,175,4000,175,4000,175,4000,0.75,4000,480,0.75,,5800,0.75,1000,175,1000,175,1000,180,140,1570,28.5,29.4,7.9,"2 x 65,3 kN Rolls-Royce BR710A1-10 turbofans.",Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,GRJ
H25A,,,L2J,C,M,Light,10568,124,1247,140,3700,140,3700,140,3700,0.69,3700,400,0.69,,1680,0.69,1000,140,1000,140,1000,200,125,1247,14.33,14.45,5.03,2x Rolls-Royce Bristol Viper 522  3330lb turbojet engines.,Low wing,Both sides of rear fuselage,"Regular tail, mid set",Tricycle retractable,
H25B,,,L2J,C,M,Light,12700,125,1700,155,2000,155,2000,155,2000,0.70,2000,400,0.70,,2190,0.70,1000,155,1000,155,1000,190,125,1700,16.6,15.6,5.5,700: 2 x 16.6kN Garrett TFE 731-3-RH turbofans. 800: 2 x 20.7kN Garrett TFE 731-5BR-1H turbofans.,Low wing,Both sides of rear fuselage,Cruciform tail,Tricycle retractable,H25
H25C,,,L2J,C,M,Light,14060,125,1900,155,3500,155,3500,155,3500,0.72,3500,450,0.72,,3100,0.72,1000,155,1000,155,1000,220,132,1900,15.7,16.4,5.2,2 x 23.13kN PWC PW 305 turbofans.,Low wing,Both sides of rear fuselage,Cruciform tail,Tricycle retractable,H25
H47,,,H2T,A,M,Lower Medium,22668,,,90,1500,90,1500,90,1500,,1500,130,,,329,,1300,90,1300,90,1300,,60,,18.29,15.9,5.7,"2 Honeywell 55-GA-714A FADEC engines, 4,733 shp (3,529 kW)",Three-blade tandem rotors,Above rear fuselage,Tail rotor on top of fuselage,Quadricycle retractable,
H60,,,H2T,A,M,Light,10660,,,75,1300,75,1300,75,1300,,1300,150,,,1200,,1000,75,1000,75,1000,,50,,16.36,19.76,5.13,"2 × General Electric T700-GE-701C turboshaft, 1,890 hp (1,410 kW) each",Four bladed main rotor,Above cabin,four blade tail rotor,Partly retractable,
H64,,,H2T,A,M,Light,10433,,,90,2900,90,2900,90,2900,,2900,145,,,257,,2500,90,2500,90,2500,,40,,14.63,17.73,3.87,"2 × General Electric T700-GE-701 and later upgraded to T700-GE-701C (1990&#8211;present) & T700-GE-701D (AH-64E) turboshafts, -701: 1,690 shp, -701C: 1,890 shp, -701D: 2,000 shp (-701: 1,260 kW, -701C: 1,490 kW, -701D: 1,490 kW) each",Four bladed main rotor,Behind cabin,four blade tail rotor,Partly retractable,
H66,,,H2T,A,M,,7896,,,120,900,120,900,120,900,,900,165,,,262,,1000,120,1000,120,1000,,40,,11.9,14.28,3.37,"2 × LHTEC T800-LHT-801 turboshaft, 1,563 hp (1,165 kW) each",Five-blade main rotor,Behind cabin,Eight-bladed FANTAIL,Main gear retractable - tailwheel fixed,
HAR,,,L1J,C,M,Light,11793,137,0,170,14500,170,14500,170,14500,0.74,14500,480,0.74,,500,0.74,10000,170,10000,170,10000,,140,0,8.3,14.5,3.6,AV-8: 1 x 90.71 kN R-R Pegasus MK 103 turbofan. FRS.1: 1 x 95.6 kN R-R Pegasus MK 104 turbofan. F/A-2: 1 x 95.6 kN R-R Pegasus MK 106 turbofan.,High wing,In fuselage,Regular tail (Anhedral),Tricycle retractable,
HAWK,,,L1J,C,M,Light,5100,115,700,145,9300,145,9300,145,9300,0.72,9300,420,0.72,,1300,0.72,8000,145,8000,145,8000,,125,700,9.4,11.9,4,"50: 1 x 23.6kN R-R Turboméca RT172-06-11 Adour 151 turbofan. 60: 1 x 25,4kN R-R Adour 861 turbofan. 100: 1 x 26,6kN R-R Adour 900 turbofan. 200: 1 x 26,0kN R-R Pegasus MK 105 turbofan. T-45: 1 x 26kN Turboméca F405-RR-401 turbofan.",Low wing,In fuselage,Regular tail (Anhedral),Tricycle retractable,
HDJT,,,L2J,B,L,Light,4519,120,1128,160,3500,160,3500,160,3500,0.57,3500,410,0.57,,1547,0.57,2000,160,2000,160,2000,140,112,1128,12.15,12.71,4.03,2x 9.1kN GE Honda HF-120 turbofans,Low wing,Over wing mounted,T-tail,Tricycle retractable,HHJ
IL18,,,L4T,C,M,Upper Medium,64000,120,1300,150,1000,150,1000,150,1000,0.60,1000,350,0.60,,3500,0.60,1000,150,1000,150,1000,150,130,1300,37.4,35.9,10.2,18: 4x 4.190 SHP Ivtschenko AI-20 turboprops with 4 blade AW68I propellers. &#13;&#10;18D: 4x 4.250 SHP Ivtschenko Al-20M turboprops with 4 blade AW68I propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,IL8
IL62,,,L4J,D,H,Lower Heavy,165000,150,3300,180,1000,180,1000,180,1000,0.72,1000,460,0.72,,5200,0.72,800,180,800,180,800,180,145,3300,43.2,53.1,12.4,62: 4 x 103 kN Kuznetsov NK-8-4 turbofans. 62M: 4 x 107.9 kN Soloviev D - 30KU turbofans.,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,IL6
IL76,,,L4J,B,H,Lower Heavy,170000,120,900,150,1000,150,1000,150,1000,0.70,1000,430,0.70,,2500,0.70,800,150,800,150,800,180,120,900,50.5,46.6,14.8,"76: 4 x 117 kN Soloviev D-30KP turbofans. 76M: 4 x 156,9 kN AviadVigatal PS-90AN turbofans.",High wing,Underwing mounted,T-tail,Tricycle retractable,IL7
IL86,,,L4J,D,H,Lower Heavy,215000,155,2800,185,2000,185,2000,185,2000,0.72,2000,490,0.72,,2000,0.72,1000,185,1000,185,1000,180,150,2800,48.1,59.5,15.8,4 x 127 kN Kuznetsov NK-86 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,ILW
IL96,,,L4J,D,H,Upper Heavy,250000,150,2800,180,2000,180,2000,180,2000,0.72,2000,470,0.72,,6900,0.72,1000,180,1000,180,1000,,150,2800,60.11,55.3,17.5,300: 4 x 156 kN Soloviev PS-90A turbofans. M: 4 x 170 kN Pratt&Whitney PW2337 turbofans.,Low wing (winglets),Underwing mounted,"Regular tail, mid set",Tricycle retractable,IL9
J328,,,L2J,B,M,Lower Medium,15660,135,1300,165,2500,165,2500,165,2500,0.60,2500,350,0.60,,2000,0.60,1000,165,1000,165,1000,170,115,1300,20.98,21.3,7.2,"2 x 26,9 kN P&W PW306B turbofans.",High wing,Underwing mounted,T-tail,Tricycle retractable,D38
JAGR,,,L2J,D,M,Lower Medium,15700,125,940,155,20000,155,20000,155,20000,0.80,20000,480,0.80,,1400,0.80,10000,155,10000,155,10000,,148,940,8.7,16.8,4.9,"GR1: 2 x 23,7kN (with afterburner 2 x 38.8kN) R-R Turbomeca Adour MK 102 turbofans. International: 2 x 24,6kN (with afterburner 2 x 37.4kN) R-R Turbomeca Adour 811 turbofans.",High wing,In fuselage,Regular tail (Anhedral),Tricycle retractable,
JS1,,,L2T,B,L,Light,5670,110,759,160,2100,160,2100,160,2100,0.55,2100,210,0.55,,1600,0.55,1000,160,1000,160,1000,120,100,759,15.85,14.37,5.32,2 x 850shp Turbomeca Astazou XIV turboprop engines with 3 bladed constant speed propelle,Low wing,Over wing mounted,"Regular tail, mid set",Tricycle retractable,
JS20,,,L2T,B,M,Light,5700,115,650,130,2500,130,2500,130,2500,0.00,2500,230,0.00,,1200,0.00,1000,130,1000,130,1000,140,105,650,15.85,14.37,5.32,2x Turbomeca Astazou XVI C2 965 hp Turboprop,Low wing,Over wing mounted,"Regular tail, mid set",Tricycle retractable,
JS3,,,L2T,B,M,Light,5700,115,759,170,1500,170,1500,170,1500,0.00,1500,240,0.00,,1920,0.00,1000,170,1000,170,1000,140,112,759,15.85,14.37,5.32,Garrett AiResearch TPE 331,Low wing,Over wing mounted,"Regular tail, mid set",Tricycle retractable,
JS31,,,L2T,B,M,Light,6950,110,1800,130,2000,130,2000,130,2000,,2000,250,,,550,,1500,130,1500,130,1500,165,115,1800,15.85,14.37,5.32,2 x 940 shp Garrett TPE331-10UG,Low wing,(Front) Wing leading mounted,Cruciform tail,Tricycle retractable,J31 / JST
JS32,,,L2T,B,M,Light,7360,110,1570,140,2000,140,2000,140,2000,,2000,235,,,850,,2000,140,2000,140,2000,150,115,1570,15.85,14.36,5.38,2 x 1.020SHP Garret TPE331-12 UAR turboprops with four blade propellers.,Low wing,(Front) Wing leading mounted,Cruciform tail,Tricycle retractable,J32 / JST
JS41,,,L2T,B,M,Light,10886,110,1520,140,2200,140,2200,140,2200,,2200,290,,,1000,,1500,140,1500,140,1500,170,120,1520,18.42,19.33,5.61,2 x 1.500SHP Garrett TPE331-14 GR/HR or 2 x 1.650SHP Garrett TPE33 -14 turboprops with 5 blade propellers.,Low wing,(Front) Wing leading mounted,Cruciform tail,Tricycle retractable,J41 / JST
K35E,,,L4J,C,H,Lower Heavy,134720,140,2700,155,1300,155,1300,155,1300,0.74,1300,440,0.74,,1400,0.74,800,155,800,155,800,180,135,2700,39.9,41.5,12.7,4 x 93.4 kN P&W TF33-PW-100 turbofans.,Low wing,Underwing mounted,"Regular tail, low set",Tricycle retractable,
K35R,,,L4J,C,H,Lower Heavy,146285,125,2700,155,2500,155,2500,155,2500,0.78,2500,440,0.78,,7500,0.78,1000,155,1000,155,1000,180,135,2700,39.9,41.5,12.7,"4 x 97,9 kN CFMI CFM - F108 turbofans.",Low wing,Underwing mounted,"Regular tail, low set",Tricycle retractable,
KA50,,,H2T,A,M,Light,10800,,,80,2000,80,2000,80,2000,,2000,146,,,335,,2000,80,2000,80,2000,,60,,14.5,16,4.93,"2 × Klimov TV3-117VK turboshafts, 1,641 kW (2,200 shp) each",Twin coaxial three-blade rotor,Behind cabin,"Regular tail, low set",Tricycle retractable,
KA52,,,H2T,A,M,Light,10800,,,100,1900,100,1900,100,1900,,1900,150,,,,,1200,100,1200,100,1200,,40,,14.5,16,4.93,"2 × Klimov TV3-117VMA 1,641 kW (2,200 shp)",Twin coaxial three-blade rotor,Behind cabin,"Regular tail, low set",Tricycle retractable,
L101,,,L3J,C,H,Lower Heavy,195040,150,2400,180,2000,180,2000,180,2000,0.75,2000,485,0.75,,4600,0.75,800,180,800,180,800,220,140,2400,47.4,54.3,16.9,1/50/100: 3 x 187 kN R-R RB211-22B turbofans. 200: 3 x 215 kN R-R RB211-524 turbofans.,Low wing,Underwing mounted and fin-integrated,"Regular tail, low set",Tricycle retractable,L10/L11/L15/L1F
L159,,,L1J,C,M,Light,8000,120,450,150,10000,150,10000,150,10000,0.69,10000,490,0.69,,850,0.69,5000,150,5000,150,5000,,130,450,9.5,12.7,4.8,1 x 28 kN Honeywell ITEC F124-GA-100 turbofan.,Low wing with wing tip tanks,In fuselage,"Regular tail, high set",Tricycle retractable,
L188,,,L4T,C,M,Lower Medium,51250,120,1300,150,1500,150,1500,150,1500,0.54,1500,350,0.54,,2200,0.54,1500,150,1500,150,1500,170,130,1300,30.2,31.8,10,4 x 4.910 SHP Allison T56-A14 or 4 x 3.750 SHP Alison 501-D13 turboprops with 4 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,LOE/LOF/LOM
L29B,,,L4J,C,M,Lower Medium,20227,145,1600,175,3500,175,3500,175,3500,0.72,3500,440,0.72,,2400,0.72,1000,175,1000,175,1000,220,140,1600,16.6,18.4,6.2,"4 x 16,78 kN Garret TFE 731-3 turbofans. L-1329: 4 x 14,7 kN P&W  JT12A-6 turbojets.",Low wing,Both sides of rear fuselage,Cruciform tail,Tricycle retractable,
L39,,,L1J,C,L,Light,5700,120,550,150,4300,150,4300,150,4300,0.64,4300,380,0.64,,900,0.64,5000,150,5000,150,5000,,135,550,9.5,12.13,4.8,"L-39: 1 x 16.87 kN Progress AI-25 TL turbofan. L-139: 1 x 18,2 kN Garrett TFE 731-4 turbofan.",Low wing with wing tip tanks,In fuselage,"Regular tail, high set",Tricycle retractable,
L410,,,L2T,A,L,Light,6400,85,900,115,1000,115,1000,115,1000,,1000,200,,,600,,800,115,800,115,800,,85,900,20,14.4,5.8,410: 2 x 750 SHP Motorlet Walter M 601E turboprops with five blade propellers. 420: 2 x 775 SHP Motorlet Walter M 601F turboprops with five blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,L4T
L610,,,L2T,B,M,Light,14500,100,900,130,1000,130,1000,130,1000,,1000,220,,,1300,,800,130,800,130,800,,100,900,25.6,21.4,8.2,L-610M: 2 x 1.822 SHP Motorlet M 602 turboprops with four blade propellers. L-610G: 2 x 1.750 SHP GE CT7-9D turboprops with four blade propellers.,High wing,(Front) Wing leading mounted,Cruciform tail,Tricycle retractable,
LJ25,,,L2J,C,L,Light,6800,130,1200,160,4000,160,4000,160,4000,0.72,4000,450,0.72,,1500,0.72,1000,160,1000,160,1000,170,125,1200,10.8,14.5,3.7,2 x 13.1 kN GE CJ610-8A turbojets.,Low wing with wing tip tanks,Both sides of rear fuselage,T-tail,Tricycle retractable,
LJ31,,,L2J,B,M,Light,7030,130,1100,160,4000,160,4000,160,4000,0.72,4000,450,0.72,,1500,0.72,1000,160,1000,160,1000,180,120,1100,13.3,14.8,3.8,2 x 15.6 kN Garrett TFE731-2B turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
LJ35,,,L2J,C,M,Light,8300,140,1500,170,4000,170,4000,170,4000,0.72,4000,440,0.72,,2100,0.72,1000,170,1000,170,1000,180,125,1500,12,14.8,3.7,2 x 15.6 kN Garrett TFE731-2-2B turbofans.,Low wing with wing tip tanks,Both sides of rear fuselage,T-tail,Tricycle retractable,LRJ
LJ40,,,L2J,B,M,Light,9545,110,1306,160,2900,160,2900,160,2900,0.78,2900,450,0.78,,1692,0.78,1500,160,1500,160,1500,180,115,1306,14.56,16.93,4.31,"2 × Honeywell TFE731-20AR, or -20BR in the Lear 40XR, turbofan engines, 3500 lbs (15.56 kN) each&#13;&#10;",Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
LJ45,,,L2J,C,M,Light,9230,140,1325,170,4000,170,4000,170,4000,0.72,4000,450,0.72,,2100,0.72,1000,170,1000,170,1000,170,140,1325,14.6,17.6,4.3,2 x 15.57 kN Garrett TFE731-20 turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
LJ55,,,L2J,C,M,Light,9530,140,1400,170,4000,170,4000,170,4000,0.72,4000,400,0.72,,2500,0.72,1000,170,1000,170,1000,180,140,1400,13.3,16.8,4.5,2 x 16.46 kN Garrett TFE731-3A-2B turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,
LJ60,,,L2J,C,M,Light,10659,140,1660,170,4000,170,4000,170,4000,0.72,4000,455,0.72,,2400,0.72,1000,170,1000,170,1000,180,140,1660,13.4,17.9,4.5,2 x 20.46 kN Pratt & Whitney Canada PW305A turbofans.,Low wing (winglets),Both sides of rear fuselage,T-tail,Tricycle retractable,LRJ
M18,,,L1P,A,L,Light,4700,85,290,100,1000,100,1000,100,1000,,1000,100,,,450,,500,100,500,100,500,90,80,290,17.7,9.5,3.7,1 x 1.000 HP PZL Kalisz ASZ-62IR radial piston engine with 4 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tailwheel fixed,
M20P,,,L1P,A,L,Light,1170,70,450,100,1240,100,1240,100,1240,,1240,237,,,1445,,500,100,500,100,500,66,60,450,11.1,8.15,2.5,20C: 1 x 180 HP Lycoming O-360-A1D piston engine with 2 blade propeller. 20E: 1 x 200 HP Lycoming IO-360-A1A piston engine with 2 blade propeller. 20R: 1 x 280 HP Continental IO-550G piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle retractable,
M20T,,,L1P,A,L,Light,1526,75,650,105,1100,105,1100,105,1100,,1100,200,,,1000,,500,105,500,105,500,80,70,650,11,8.2,2.5,TLS: 1 x 270 HP  Lycoming TIO-540-AF1A turbocharged piston engine with 3 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle retractable,
